Candidate,Party,Votes
CHANDRAKASI, M,All India Anna Dravida Munnetra Kazhagam,429536
THIRUMAAVALAVAN, THOL,Viduthalai Chiruthaigal Katchi,301041
SUDHAMANIRATHINEM,Pattali Makkal Katchi,279016
VALLAL PERUMAN, P,Indian National Congress,28988
ANANDAN ALIAS KAVIGNAR ANANTHAMAALAI, S,Independent,8875
EZHUMALAI, V,Akhil Bharat Hindu Mahasabha,6824
RAJENDRAN, K,Bahujan Samaj Party,5179
RAJKUMAR, S,Independent,4896
THIRUSANGU, A,Independent,3370
PAZHANIVEL, P,Independent,1772
PARVATHI, S,Independent,1543
PUSHPARAJ, S,Independent,1523
SENTHAMIZHSELVI, K,Independent,1469
CHANDRAGASAN, N,Independent,1182
SANMUGAM, A,Independent,1071
None of the Above,None of the Above,12138
