Candidate,Party,Votes
MULAYAM SINGH YADAV,Samajwadi Party,340306
RAMAKANT YADAV,Bharatiya Janata Party,277102
SHAH ALAM ALIAS GUDDU JAMALI,Bahujan Samaj Party,266528
ARVIND KUMAR JAISWAL,Indian National Congress,17950
M. AMIR RASHADI,Rashtriya Ulama Council,13271
MADAN,All India Trinamool Congress,5207
SHAMSHAD AHMAD,Independent,4875
SANJAY KUMAR CHATURVEDI,Indian Savarn Samaj Party,4051
SANTOSH KUMAR GAUTAM,Manavtawadi Samaj Party,3866
PRAMOD SINGH,Independent,3752
SANJAY CHAUHAN,Independent,3517
RAJESH YADAV,Aam Aadmi Party,3082
RAM SINGH CHAUHAN,Independent,2507
PRAKASH CHANDRA,Sanatan Sanskriti Raksha Dal,2103
SUGRIV CHAUHAN,Independent,1882
RAJDHARI RAJBHAR,Moolniwasi Samaj Party,1695
DURG VIJAY YADAV,Bahujan Mukti Party,1566
KIRAN SHARAMA,Bhartiya Shakti Chetna Party,1298
None of the Above,None of the Above,5660
