Candidate,Party,Votes
DINESH TRIVEDI,All India Trinamool Congress,479206
SUBHASHINI ALI,Communist Party of India (Marxist),272433
RUMESH KUMAR HANDA,Bharatiya Janata Party,230401
SAMRAT TOPADAR,Indian National Congress,30491
TAPAS SARKAR,Bahujan Samaj Party,5458
DINA SHANKAR SINGH,Independent,5036
OMPRAKASH RAJBHAR,Communist Party of India (Marxist-Leninist) (Liberation),4416
OM PRAKASH SHAW,Independent,3555
GIRISH CHANDRA SINGH,Independent,3132
PRADIP CHAUDHURI,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),2200
SHARMISTHA CHOUDHURY,Communist Party of India (Marxist-Leninist) Red Star,2036
MIHIR BISWAS,Aam Aadmi Party,1787
None of the Above,None of the Above,10979
