Candidate,Party,Votes
ANGADI SURESH CHANNABASAPPA,Bharatiya Janata Party,554417
LAXMI R. HEBBALKAR,Indian National Congress,478557
ANGADI MUTTAPPA CHANNASANGAPPA,Aam Aadmi Party,8524
BAGWAN NASIR PAPULSAB,Janata Dal (Secular),5477
RAMESH G KADALASKAR,Bahujan Samaj Party,3535
RAMAPPA (RAMCHANDRA) MAREPPA CHALAWADI,Independent,3504
SANTOSH M. SHET @ RAIKAR,Independent,3245
S. P. RATHOD,Independent,1753
SANTOSH MANOHAR BAVADEKAR,Independent,1656
MOHAN YALLAPPA MORE,Independent,1457
DAYANAND GURUPUTRAYYA CHIKKAMATH,Samajwadi Party,1261
MAJUKAR HANMANT KRISHANA,Independent,1187
KHANAGOUDAR S B,Independent,920
DR. GAONKAR RAJMAHENDRA SAKHARAM,Independent,781
ANTAKKANAVAR PARAPPA SHANKAREPPA,Independent,773
None of the Above,None of the Above,11500
