Candidate,Party,Votes
VINOD KHANNA,Bharatiya Janata Party,482255
PARTAP SINGH BAJWA,Indian National Congress,346190
SUCHA SINGH CHHOTEPUR,Aam Aadmi Party,173376
VARINDER SINGH,Communist Party of India,11839
SUKHWINDER SINGH,Bahujan Samaj Party,5621
ROHIT MAINGI,Independent,4057
SANTOSH KUMARI,Megh Desham Party,3645
GURMEET SINGH BAKHATPURA,Communist Party of India (Marxist-Leninist) (Liberation),2875
SIKANDER SINGH,Independent,2124
GURPREET SINGH KHANNA,Bharatiya Gaon Taj Dal,1785
MUKESH,Independent,1649
PETER MASIH,SARVAJAN SAMAJ PARTY (D),1463
AMIT AGGARWAL,Independent,1195
None of the Above,None of the Above,4625
