Candidate,Party,Votes
GADDIGOUDAR PARVTAGOUDA CHANDANAGOUDA,Bharatiya Janata Party,571548
AJAY KUMAR SARNAIK,Indian National Congress,454988
SHANKAR BIDARI,Independent,10959
Y.C KAMBLE,Bahujan Samaj Party,7370
HUNASHYAL RAVI,Janata Dal (Secular),7237
VASANAGOUDA NINGANAGOUDA BHANDI,Independent,4325
PARASHURAM MANASING RATHOD,Independent,3897
MUTTAPPA MUDAKAPPA HIREKUMBI,Independent,2037
KAZI KUTUBUDDIN,Aam Aadmi Party,2004
NAGAPPA PAKKIRAPPA SHIRAGUPPI,Independent,1194
KANABUR SADASHIV SIDAMALLAPPA,Janata Dal (United),1180
AJJODI BHEEMAPPA DHOOLAPPA,Independent,994
MAHESH BASAPPA NANDIHAL,Karunaadu Party,813
None of the Above,None of the Above,10764
