Candidate,Party,Votes
NARENDRA SINGH TOMAR,Bharatiya Janata Party,442796
ASHOK SINGH,Indian National Congress,413097
ALOK SHARMA,Bahujan Samaj Party,68196
NEELAM AGRWAL,Aam Aadmi Party,11510
AKHILESH YADAV,Communist Party of India (Marxist),10297
BALWANT SINGH KUSHWAH ADVOCATE,Samajwadi Party,5327
ASIF KHAN,Independent,4969
C.L. KARODIYA (PRIJAPATI),Jan-Nyay Dal,4719
NARAYAN SINGH KUSHWAH,Independent,3963
CAPTAN BABU LAL GOSWAMI,Independent,2659
HIRADAY NARAYAN SINGH TOMAR (GUDDU),Akhil Bharat Hindu Mahasabha,2244
DEEPAK KUMAR BANSAL RANGWALE (PRERAK),Independent,2122
SHIV SINGH KUSHAWAH,Mahanwadi Party,2101
COMRADE SUNIL GOPAL,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),2054
PRAJESH CHOUDHARY,Independent,1981
RAM PATHWAR KORI (RAMSEBAK),Independent,1687
K. P. KAMTE,Bharatiya Rashtriya Mazdoor Dal,1607
MADAN MOHAN URF MOHAN SINGH TOMAR,Bhartiya Jan Yug Party,1477
KISHAN LAL KUSHWAH,Rashtriya Samanta Dal,1412
VIKAS SHARMA,Bharatiya Navyuvak Party,1408
GEETA RAJPUT,Al-Hind Party,1067
None of the Above,None of the Above,4219
