Candidate,Party,Votes
BODHSINGH BHAGAT,Bharatiya Janata Party,480594
HINA LIKHIRAM KAWRE,Indian National Congress,384553
ANUBHA MUNJARE,Samajwadi Party,99392
"YOGESH NANAJI SAMRITE",Bahujan Samaj Party,46345
ASHOK KUMAR MASIH,Communist Party of India,20297
SMT. HIRASAN UIKEY,Gondvana Gantantra Party,15801
JABALPUR HIGH COURT ADVOCATE AND WRITER SUKHARAM ASTKAR LANJI,Independent,11767
"SANDEEP SONI",Independent,10444
U. K. CHOUDHARY (MUNNA BHAIYA),Aam Aadmi Party,9898
SHANKAR KANSRE LODHI (SAMAJ SEWAK),Independent,6374
LAXMINARAYAN DEHARIYA,Bahujan Mukti Party,4427
VIVEK MISHRA (LALU BHAIYA),Jai Maha Bharath Party,4397
GAUTAM RAMTEKE,Republican Party of India (Khobragade),3250
DR. ASRA ANJUM FAROOQUI,Republican Party of India (A),3243
NANDLAL UIKEY,Chhattisgarh Swabhiman Manch,3008
ASIF KHAN,Minorities Democratic Party,2652
None of the Above,None of the Above,6922
