Candidate,Party,Votes
RAJESH VERMA,Bharatiya Janata Party,417546
KAISER JAHAN,Bahujan Samaj Party,366519
BHARAT TRIPATHI,Samajwadi Party,156170
VAISHALI ALI,Indian National Congress,29104
SUCHITA KUMAR,Independent,8959
JAGDISH NARAYAN SHUKLA,All India Trinamool Congress,8089
TURAB ALI,Independent,6646
PUSHPA DEVI,Independent,3575
JAGMOHAN SINGH VERMA,All India Forward Bloc,2550
RAM AVTAR NISHAD,Jai Hind Samaj Party,2504
SANJAY TIWARI,Naitik Party,2373
SHEFALI MISRA,Aam Aadmi Party,2319
R. K. MISRA,Nav Bharat Democratic Party,2205
ERAJ BEG,Nagrik Ekta Party,2195
CHAUDHARY LAL BAGHEL,Bahujan Mukti Party,1992
SANT KUMAR,Communist Party of India (Marxist-Leninist) Red Star,1544
None of the Above,None of the Above,12682
