Candidate,Party,Votes
VISHNU DEO SAI,Bharatiya Janata Party,662478
ARTI SINGH,Indian National Congress,445728
KRIPA SHANKAR BHAGAT,Bahujan Samaj Party,27152
PRAKASH KUMAR URANW,Independent,12860
TARA SINGH RATHIYA,Aam Aadmi Party,12133
KRIPARAM SIDAR,Gondvana Gantantra Party,11227
BAJARANG SIDAR,Independent,11098
RAM NARAYAN AYAM,Ambedkarite Party of India,8747
DHANANJAY RATHIYA,Independent,8046
AMRIT TIRKEY,Independent,7975
JOSEPH BARA,Independent,5168
PAULUS KUJUR,Bahujan Mukti Party,5094
None of the Above,None of the Above,28480
