Candidate,Party,Votes
RAMESH BIDHURI,Bharatiya Janata Party,497980
COL DEVINDER SEHRAWAT,Aam Aadmi Party,390980
RAMESH KUMAR,Indian National Congress,125213
RUBY YADAV,Independent,56749
SANJAY KUMAR RAI,Bahujan Samaj Party,10873
SHRICHAND TANWAR,Communist Party of India,4475
SHAHID,Independent,2841
SUMANT KUMAR,Independent,1640
TEJ PAL SINGH,Independent,1215
SUNIL KUMAR,Independent,1140
RAKESH KUMAR,Independent,1071
NARESH KUMAR CHANDALIYA,Independent,913
SREERUPA MITRA CHAUDHURY,All India Trinamool Congress,803
MOHAN KANUGA,Jammu & Kashmir National Panthers Party,561
DR. DUSMANTA KUMAR GIRI,Independent,560
D. K. CHOPRA,Independent,412
HAFIZ MUSTAQ,Jan Samanta Party,357
KIRAN PAL SINGH,Independent,314
CHO. OMBIR SINGH NAUGHWAR,Bharatiya Bahujan Party,303
None of the Above,None of the Above,4010
