Candidate,Party,Votes
JYOTIRADITYA M SCINDIA,Indian National Congress,517036
JAIBHANSINGH PAWAIYA,Bharatiya Janata Party,396244
LAKHAN SINGH BAGHEL,Bahujan Samaj Party,27412
LALLI RAM RAI,Independent,5575
SHAILENDRA SINGH KUSHWAH,Aam Aadmi Party,4073
GIRRAJ YADAV,Independent,3294
MAHENDRA KUMAR,Independent,2845
CHANDRAPAL SINGH TOMAR,Independent,2197
NARAYANRAO GUPCHUP,Independent,2079
NAND KISHORE TYAGI,Independent,2072
ANWAR KHAN,Independent,1321
None of the Above,None of the Above,12481
