Candidate,Party,Votes
P.V.MIDHUN REDDY,Yuvajana Sramika Rythu Congress Party,601752
D. PURANDESWARI,Bharatiya Janata Party,426990
G.MUJEEB HUSSAIN,Jai Samaikyandhra Party,59777
ANNAYYAGARI SAI PRATHAP,Indian National Congress,29332
S NARENDRA BABU,Mahajana Socialist Party,15086
VENKATA SUBBAIAH NALLUGARI,Bahujan Samaj Party,8189
N. DEVA,Hindustan Janta Party,3896
V PATTABHI,Independent,3549
SHAIK JEELANI SAHEB,Independent,2630
None of the Above,None of the Above,7116
