Candidate,Party,Votes
UMA BHARATI,Bharatiya Janata Party,575889
DR. CHANDRAPAL SINGH YADAV,Samajwadi Party,385422
ANURADHA SHARMA,Bahujan Samaj Party,213792
PRADEEP JAIN 'ADITYA',Indian National Congress,84089
RAM KUMAR 'ANK SHASTRI',Independent,11443
RAJENDRA KUMAR,Independent,8600
ARCHANA,Aam Aadmi Party,5536
RACHNA SHARMA,Independent,4522
NARESH KUMAR,Rashtriya Sarvajan Party,4215
DILSHAD AHMAD,Independent,2727
TULA RAM,Independent,2605
SUNIL MASSEY,Shivsena,2121
KULDEEP KUMAR,Independent,2036
CHINTAMANI,Akhil Rashtrawadi Party,2029
MAULANA MOHAMMAD,Peace Party,1819
None of the Above,None of the Above,13959
