Candidate,Party,Votes
ASHOK GAJAPATHI RAJU PUSAPATI,Telugu Desam,536549
VENKATA SWETHA CHALAPATHI KUMARA KRISHNA RANGARAO RAVU,Yuvajana Sramika Rythu Congress Party,429638
JHANSI LAKSHMI BOTCHA,Indian National Congress,122487
PRASADA RAO NANDA,Pyramid Party of India,6401
YELLA RAO SIYYADULA,Independent,5125
BONU KRISHNA,Bahujan Samaj Party,4092
HARIKISHAN KUPPILI,Independent,3603
TADIVAKA RAMESH NAIDU,Jai Samaikyandhra Party,3388
NARU SIMHADRI NAIDU,Aam Aadmi Party,2505
None of the Above,None of the Above,6528
