Candidate,Party,Votes
NEELAM SONKAR,Bharatiya Janata Party,324016
BECHAI SAROJ,Samajwadi Party,260930
DR. BALIRAM,Bahujan Samaj Party,233971
BALIHARI BABU,Indian National Congress,21832
PRADEEP KUMAR,Rashtriya Ulama Council,14368
HARIPRASAD SONKAR,Communist Party of India,10523
JIYA LAL,Aam Aadmi Party,5668
SHRIPATI,Qaumi Ekta Dal,4620
ACHCHHELAL,Independent,4536
JANGBAHADUR,Independent,3307
AVADHESH,Independent,2129
LAL BAHADUR,Bahujan Mukti Party,1911
DINESH KUMAR,Asankhya Samaj Party,1733
SUKHANAYAN,Jan Shakti Ekta Party,1398
None of the Above,None of the Above,7713
