Candidate,Party,Votes
HARINDER SINGH KHALSA,Aam Aadmi Party,367293
SADHU SINGH,Indian National Congress,313149
KULWANT SINGH,Shiromani Akali Dal,312815
SARABJEET SINGH,Bahujan Samaj Party,12683
DHARAM SINGH,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),3173
LACHHMAN SINGH S/O S.SAROOP SINGH,Independent,2852
HARPREET SINGH,Bahujan Mukti Party,2352
NIRMAL SINGH,Nationalist Congress Party,2149
LACHHMAN SINGH S/O S.GULZAR SINGH,Independent,2141
GURDEEP SINGH,Inqalab Vikas Dal,1930
LAKHVIR SINGH,Jammu & Kashmir National Panthers Party,1733
RANJIT SINGH,Independent,1679
PARAMJIT SINGH,Independent,1266
MANPREET SINGH,Independent,886
AVTAR SINGH,Independent,848
None of the Above,None of the Above,4005
