Candidate,Party,Votes
KAMLESH PASWAN,Bharatiya Janata Party,417959
SADAL PRASAD,Bahujan Samaj Party,228443
GORAKH PRASAD PASWAN,Samajwadi Party,133675
SANJAI KUMAR,Indian National Congress,50675
LALCHAND PRASAD JATAV,Ambedkar Samaj Party,9769
RAMNIVAS PASWAN,Aam Aadmi Party,5236
KUNJAWATI,Independent,4346
SHEO SHANKAR,Independent,4013
RAMPRIT JAKHMEE,Bahujan Mukti Party,3080
RAMNARESH,Indian Savarn Samaj Party,2963
ARJUN PRASAD RAW,Bhartiya Sarvjan Party,2896
CHANDRIKA PRASAD BHARATI,Rashtriya Janwadi Party (Krantikari),1327
None of the Above,None of the Above,13495
