Candidate,Party,Votes
TAPAS PAUL,All India Trinamool Congress,438789
JHA SHANTANU,Communist Party of India (Marxist),367534
SATYA BRATA MOOKHERJEE,Bharatiya Janata Party,329387
AHMED RAZIA,Indian National Congress,74789
SUBIMAL SENGUPTA,Communist Party of India (Marxist-Leninist) (Liberation),7777
KAMAL DATTA,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),7214
HARASHIT BISWAS,Bahujan Samaj Party,6168
MOLLA JAFORULLA,Bahujan Mukti Party,4865
AHAMED HOSSAIN,Indian Union Muslim League,3749
None of the Above,None of the Above,7642
