Candidate,Party,Votes
SATABDI ROY,All India Trinamool Congress,460568
DR. ELAHI KAMRE MAHAMMAD,Communist Party of India (Marxist),393305
JOY BANERJEE,Bharatiya Janata Party,235753
SYED SIRAJ JIMMI,Indian National Congress,132084
SHIBRATAN SHARMA,Jharkhand Mukti Morcha,7989
PRASANTA ROY,Samajwadi Party,7194
PRABIR MUKHOPADHYAY,Bahujan Samaj Party,7141
AYESHA KHATUN,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),6593
SUTTAM DAS,Independent,5448
SAJAL DAS,Bahujan Mukti Party,2982
NURUL ISLAM,Janata Dal (United),2205
None of the Above,None of the Above,14557
