Candidate,Party,Votes
KALRAJ MISHRA,Bharatiya Janata Party,496500
NIYAJ AHMAD,Bahujan Samaj Party,231114
BALESHWAR YADAV,Samajwadi Party,150852
SABHA KUNWAR,Indian National Congress,37752
RAM PRAVESH,Bharatiya Ekta Dal,6408
HEMANT KISHOR SRIVASTAVA,Independent,5763
RAJU,Moderate Party,5406
SHYAM SUNDAR,Peace Party,5130
AROON KUMAR TRIPATHI,Aam Aadmi Party,4952
UMESH,Suheldev Bhartiya Samaj Party,4343
BARKHA KINNAR,Independent,4124
VED PRAKASH MALL,Janata Dal (United),1916
RAM PREET,Most Backward Classes Of India,1906
INTZARUL,Bahujan Mukti Party,1833
AWADH KISHOR NIGAM,Adarsh Rashtriya Vikas Party,1153
None of the Above,None of the Above,12405
