Candidate,Party,Votes
SUGATA BOSE,All India Trinamool Congress,584244
SUJAN CHAKRABORTY,Communist Party of India (Marxist),459041
DR. SARUP PRASAD GHOSH,Bharatiya Janata Party,155511
SAMIR AICH,Indian National Congress,26344
DR. ASOK KUMAR SAMANTA,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),11317
SANDHYA MANDAL,Bahujan Samaj Party,3945
MANGAL KUMAR SARDAR,Independent,3406
SUSANTA KUMAR NASKAR,Independent,3067
SHAMALI DAS,Independent,2885
KARTIK KAYAL,Independent,2837
HASIBUL ISLAM MIR,Rashtriya Janasachetan Party (R.J.P.),1464
PINTU SANPUI,Bahujan Mukti Party,1340
ASHOK KUMAR SHAW,Independent,1294
None of the Above,None of the Above,15667
