Candidate,Party,Votes
AJAY KUMAR,Bharatiya Janata Party,398578
ARVIND GIRI,Bahujan Samaj Party,288304
ZAFAR ALI NAQVI,Indian National Congress,183940
RAVI PRAKASH VERMA,Samajwadi Party,160112
VIPNESH,Communist Party of India,16401
RAMESHWARI,Independent,3514
KRISHNA ADHIKARI,Communist Party of India (Marxist-Leninist) (Liberation),3230
ASHOK,Aam Aadmi Party,3165
ASHRAF ALI,Peace Party,3124
DINESH KUMAR,Bahujan Mukti Party,2861
RAMGOPAL MISHRA,Independent,2608
None of the Above,None of the Above,12031
