Candidate,Party,Votes
KARIA MUNDA,Bharatiya Janata Party,269185
ANOSH EKKA,Jharkhand Party,176937
KALI CHARAN MUNDA,Indian National Congress,147017
NEIL TIRKEY,AJSU Party,27158
BASANT KUMAR LONGA,Jharkhand Vikas Morcha (Prajatantrik),24514
MAHADEV RAVINATH PAHAN,Rashtriya Deshaj Party,13566
DAYAMANI BARLA,Aam Aadmi Party,11822
JAITUN TUTI,Independent,11364
JITENDRA MANKI ALIAS JITENDRA PRASAD MANKI,Independent,6596
SUBODH PURTY,Bahujan Samaj Party,6407
KALYAN NAG,Independent,4958
BUDAY MUNDA,Akhil Bhartiya Jharkhand Party,4841
NITIMA BODRA BARI,Samajwadi Party,4425
ASRITA TUTI,Independent,4349
None of the Above,None of the Above,23816
