Candidate,Party,Votes
PRASUN BANERJEE,All India Trinamool Congress,488461
SRIDIP BHATTACHARYA,Communist Party of India (Marxist),291505
GEORGE BAKER,Bharatiya Janata Party,248120
MANOJ KUMAR PANDEY,Indian National Congress,63254
SONIA DAS,Independent,4441
SHIB CHANDRA RAM,Bahujan Samaj Party,3241
GOBARDDHAN MANNA,Indian Unity Centre,2680
DINESH KUMAR SHARMA,Independent,2343
SURAJ NARAYAN SINGH,Aam Aadmi Party,2186
SANJIB SARKAR,Independent,2105
MRITYUNJAY SARKAR,Independent,2034
SOUMITRA SENGUPTA,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),1814
SAJAL KUMAR DAS,Independent,1572
MOHAMMAD SIRAJUDDIN SEKH,Gareeb Aadmi Party,1079
SUKUMAR BARAL,Bahujan Mukti Party,635
None of the Above,None of the Above,9929
