Candidate,Party,Votes
P P CHOUDHARY,Bharatiya Janata Party,711772
MUNNI DEVI GODARA,Indian National Congress,312733
BHOJRAJ,Bahujan Samaj Party,16469
JAGDISH,Bahujan Mukti Party,7186
DR. RAMLAL MOHBARSHA,Independent,5794
SHER SINGH SAFA,Independent,5198
MAHESH BHANDARI,Aam Aadmi Party,5031
OM PRAKASH MALI,Independent,3306
SHOBHARAM MALI,Jai Maha Bharath Party,2825
DINESH MEV,Independent,2358
UDARAM,Independent,2058
KANHAIYALAL PAREEK,Independent,1890
DEV KISHAN DEHIYA,Megh Desham Party,1264
None of the Above,None of the Above,17703
