Candidate,Party,Votes
JAI PRAKASH NARAYAN YADAV,Rashtriya Janata Dal,285150
PUTUL KUMARI,Bharatiya Janata Party,275006
SANJAY KUMAR -I,Communist Party of India,220708
NARESH KUMAR PRIYADARSHI,Independent,30814
ALIMUDDIN ANSARI,Independent,12871
INDRARAJ SINGH SAINI,Independent,11520
SARGUN SAH,Independent,11056
SANJAY KUMAR-II,Bahujan Samaj Party,10558
NIRAJ KUMAR,Aam Aadmi Party,6058
AKHIL BHARTIYA SHARMA,Independent,4721
SUBODH NARAYAN JHA,All India Trinamool Congress,4412
VIJAY BHARTI,Rajnaitik Vikalp Party,4317
MITHLESH KUMAR SINGH,National Loktantrik Party,2977
DEEPAK KUMAR,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),2481
MUKESH KUMAR SINHA,Bhartiya Ekta Manch Party,2405
MAHBOOB ALAM ANSARI,Bharatiya Momin Front,2280
UMAKANT YADAV,Bahujan Mukti Party,2266
None of the Above,None of the Above,9753
