Candidate,Party,Votes
NARENDRA MODI,Bharatiya Janata Party,845464
MISTRI MADHUSUDAN DEVRAM,Indian National Congress,275336
SUNIL DIGAMBAR KULKARNI,Aam Aadmi Party,10101
ROHIT MADHUSUDAN MOHANBHAI,Bahujan Samaj Party,5782
TAPAN DASGUPTA,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),2249
PATHAN SAHEBKHAN ASIFKHAN,Samajwadi Party,2101
JADAV AMBALAL KANABHAI,Janata Dal (United),1382
PATHAN MAHEMUDKHAN RAZAKKHAN,Apna Desh Party,1109
None of the Above,None of the Above,18053
