Candidate,Party,Votes
ARJUNLAL MEENA,Bharatiya Janata Party,660373
RAGHUVIR SINGH,Indian National Congress,423611
MEGHRAJ TAWAR,Communist Party of India,33743
LAXMAN BHIL,Bahujan Samaj Party,20690
DR. VELARAM MEENA,Aam Aadmi Party,11449
LAXMILAL GAMETI,Socialist Party (India),6680
GOTAM LAL MEENA,Communist Party of India (Marxist-Leninist) (Liberation),5442
PRABHU LAL MEENA,Bahujan Mukti Party,4529
None of the Above,None of the Above,26685
