Candidate,Party,Votes
VIJAY KUMAR HANSDAK,Jharkhand Mukti Morcha,379507
HEMLAL MURMU,Bharatiya Janata Party,338170
DR. ANIL MURMU,Jharkhand Vikas Morcha (Prajatantrik),97374
JYOTIN SOREN,Communist Party of India (Marxist),58034
KRISHNA SINGH,Indian Union Muslim League,16354
BARNARD HEMBROM,Rashtriya Krantikari Samajwadi Party,8686
DR. SURAE SOREN,Independent,7906
TALA HANSDA,Independent,7661
ARJUN PRASAD SINGH,AJSU Party,6761
SUNIRAM HEMBROM,Independent,6460
ARUN MARANDI,Bahujan Samaj Party,4775
None of the Above,None of the Above,19875
