Candidate,Party,Votes
DHARMENDRA YADAV,Samajwadi Party,498378
VAGISH PATHAK,Bharatiya Janata Party,332031
AKMAL KHAN URF CHAMAN,Bahujan Samaj Party,156973
PAGLANAND,Mahan Dal,5748
MUNSHI LAL,Independent,5651
ATUL KUMAR,Independent,4195
HAR BHAGWAN,Independent,4083
AJEET PAL SINGH,Peace Party,3421
HEMA MEHRA,Aam Aadmi Party,2861
REENA,Rashtriya Samanta Dal,2065
ANIL KUMAR SHARMA,Labour Party of India (V.V. Prasad),1993
SANTOSH KUMAR GUPTA (SATYMARGI),Republican Party of India (A),1448
MAHENDRA PAL,Bhartiya Shakti Chetna Party,860
VIRENDRA PAL GUPTA,Rashtravadi Janata Party,810
MADAN LAL,National Party,791
None of the Above,None of the Above,6286
