Candidate,Party,Votes
DR. J. JAYAVARDHAN,All India Anna Dravida Munnetra Kazhagam,438404
T.K.S.ELANGOVAN,Dravida Munnetra Kazhagam,301779
LA.GANESAN,Bharatiya Janata Party,256786
S.V. RAMANI,Indian National Congress,24420
JAHIR HUSSAIN. M,Aam Aadmi Party,17312
A. JAIGANESH,Lok Satta Party,4501
GANESAN S,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),1730
K.R.RAMASWAMY@TRAFFIC RAMASWAMY,Independent,1670
V. BALAJI,Bahujan Samaj Party,1540
S. SEETHALAKSHMI,Tamil Nadu Makkal Congress,1303
T.K. RAMAJAYAM,Independent,1194
A. IRUDAYADASS,Independent,963
KANTHAVEL D,Independent,878
S. PRAGASAM,Independent,648
T. PONNUSAMY,Independent,539
(KUPPAL)G.DEVADOSS,Independent,514
K. SHANKAR,Independent,504
COLONEL KADAR BASHA,Independent,434
S. BALAMURALI,Independent,420
S.S.RADHAKRISHNAN,Independent,376
R. KANDASAMY@BABU,Ambedkar People's Movement,374
T. DHANASEKAR,National Organisation Congress,332
K. MANI,Janata Dal (United),275
PON. SIVA KUMAR,Independent,274
J.S. MAHALINGAM,Independent,269
S. BALU,Independent,264
S. CHARUMATHI,Independent,261
BHAVANI JANAKIRAM,Independent,247
JOSEPH GUNASEKAR,Independent,245
B. KUMAR SRI SRI,Independent,236
S. DEVADOSS,Independent,235
M. ARUMUGAM,Independent,219
R. RAVICHANDRAN,Independent,216
S. SESU RAJ,Independent,201
M. JAYARAMAN,Independent,194
THANGARAJ,Independent,189
S. PARTHIBAN,Independent,175
S. RAJESHWARI,Independent,155
RAJINI NIVETHA,Independent,142
A. MAGESH,Independent,121
LOGANATHAN,Independent,117
S. VEERAMANI,Independent,105
None of the Above,None of the Above,20402
