Candidate,Party,Votes
KUNWAR BHARTENDRA,Bharatiya Janata Party,486913
SHAHNAWAZ RANA,Samajwadi Party,281139
MALOOK NAGAR,Bahujan Samaj Party,230124
JAYA PRADA NAHATA,Rashtriya Lok Dal,24348
MOHAMMAD MOOSA,Peace Party,15801
GAJRESH KUMAR,Independent,3317
UMESH ALIES PANI,Independent,2967
KAMAL,Independent,2545
GAURAV,Aam Aadmi Party,2483
UDAY ALIES UDAYVEER,Bharatiya Momin Front,2456
MOHAMAD ADEEB,Rashtrawadi Samaj Party,1756
PARVEZ AQIL,All India Minorities Front,722
None of the Above,None of the Above,5775
