Candidate,Party,Votes
MAHENDRAN.C,All India Anna Dravida Munnetra Kazhagam,417092
ESWARAN.E.R.,Bharatiya Janata Party,276118
PONGALUR PALANISAMY.N,Dravida Munnetra Kazhagam,251829
SELVARAJ,Indian National Congress,30014
MARY STELLA. M,Independent,4942
MANOHARAN.M,Bahujan Samaj Party,3953
PALANISAMY. V,Independent,2472
PALANISAMY. N,Independent,2192
RAMASAMY. K,Independent,2071
PRABHU. J,Independent,1599
KATHIRESAN. L,Independent,1523
MAHENDRAN. M,Independent,1171
RAJENDRAN. M,Independent,1004
SATHISH KUMAR .L,Samajwadi Party,895
EASWARAN . R,Independent,891
DEIVASIGAMANI.K,Independent,834
KATHIRAVAN. K,Independent,626
KARTHIKEYAN. PON,Independent,494
None of the Above,None of the Above,12947
