Candidate,Party,Votes
MALYADRI SRIRAM,Telugu Desam,578145
VARIKUTI AMRUTHAPANI,Yuvajana Sramika Rythu Congress Party,545391
PANABAKA LAKSHMI,Indian National Congress,23072
YALLAMATI RAMESH,Pyramid Party of India,8414
DWARAPALLI PHILIP,Bahujan Samaj Party,8113
EDA CHENNAIAH,Aam Aadmi Party,3948
R.D.WILSON,Jai Samaikyandhra Party,3657
PERLI PRASANNA DEEVENA KUMAR (PRASANNA),Indian Labour Party (Ambedkar Phule),2967
RATNABABU MAMIDI,Independent,1206
BABURAO GOLLA,Independent,823
GADDE THYAGARAJU,Independent,749
GOGULAMUDI NARASIMHA RAO,Independent,720
BANDELA NAGESWARA RAO,Independent,668
NAKKALA VEERANJANEYULU,Independent,615
None of the Above,None of the Above,6146
