Candidate,Party,Votes
HARI, G.,All India Anna Dravida Munnetra Kazhagam,493534
ELANGO, N.R,Dravida Munnetra Kazhagam,252768
VELU, R.,Pattali Makkal Katchi,233762
RAJESH, R,Indian National Congress,56337
DASS, D.,Bahujan Samaj Party,7354
GAJENDRAN, S.,Independent,6570
PANCHU.UDAYAKUMAR,Independent,6025
RAJESH, S.,Aam Aadmi Party,4021
RAVI, V.,Independent,2198
GOPINATHAN, G.,Independent,1955
ELANGOVAN, D.,Independent,1556
HARI, S.,Independent,1458
VISWANATHAN, P.,Independent,1434
VADIVEL, A.,Independent,1023
VELU, D.,Independent,920
ELANGO, N.,Independent,918
ELANGOVAN, A.,Independent,804
VELU, V.,Independent,783
VELU, R.,Independent,747
SRIDHAR, R.S,Independent,723
ARUN, N.,Independent,610
HARI, S.,Independent,599
SHETTU, S.,Independent,570
HARIKRISHNAN, P.,Independent,541
ELANGO, D.,Independent,517
SADHU MUTHU KRISTNAN ERAJANDRAN, T.M.S.,Independent,484
RAVI, N.D.,Independent,471
None of the Above,None of the Above,10370
