Candidate,Party,Votes
RADADIYA VITHALBHAI HANSRAJBHAI,Bharatiya Janata Party,508437
JADEJA KANDHALBHAI SARMANBHAI,Nationalist Congress Party,240466
SADIYA VRAJALAL PABABHAI,Bahujan Samaj Party,12180
MANSUKH SUNDARAJI DHOKAI,Aam Aadmi Party,7939
VAKIL VINZUDA RANJITBHAI NARANBHAI,Independent,4475
IRFANSHAH HABIBSHAH SUHARAVARDI,Samajwadi Party,3825
RATHOD CHANDULAL MOHANLAL,Independent,3009
PATEL BUTANI RAJESHBHAI MAGANBHAI,Independent,2868
KHUNTI BHARATBHAI MALDEBHAI,Independent,2205
TUKADIA G.R.,Independent,1704
AGHERA DHIRAJLAL BHURABHAI,Independent,1671
UNADAKAT PRAKASH VALLABHADAS,Independent,1618
KHOKHANI LALITABEN MANSUKHBHAI,Independent,1569
JOSHI HARISH LILADHAR,Independent,1024
None of the Above,None of the Above,16443
