Candidate,Party,Votes
KRISHNA PRATAP 'K.P.',Bharatiya Janata Party,367149
SUBHASH PANDEY,Bahujan Samaj Party,220839
PARASNATH YADAV,Samajwadi Party,180003
DHANANJAY SINGH,Independent,64137
DR. K. P. YADAV,Aam Aadmi Party,43471
RAVI KISHAN,Indian National Congress,42759
RAVIKANT YADAV,Independent,20832
SHAHABUDDIN,Rashtriya Ulama Council,19636
JOGENDRA PRASAD,Independent,7281
PRAMOD KUMAR ALIAS PRAMOD BHAI PATEL,Samyak Parivartan Party,7206
PREMCHAND BIND,Pragatisheel Manav Samaj Party,6814
ANUPATI RAM YADAV,Bahujan Mukti Party,4026
YOGISH CHANDRA DUBEY,Independent,2773
ANIL KUMAR SINGH,Independent,2694
RAVISHANKAR MAURYA,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),2608
RAJESH PRAJAPATI,Sarvshreshth Dal,2329
ARVIND,Suheldev Bhartiya Samaj Party,2204
VIMAL KUMAR YADAV,Independent,2109
SARFARAJ,Peace Party,2064
DR. SANJIVAN BIND,Independent,1863
GULAB CHAND DUBEY,Shivsena,1751
None of the Above,None of the Above,2595
