Candidate,Party,Votes
KADIYAM SRIHARI,Telangana Rashtra Samithi,661639
RAJAIAH SIRICILLA,Indian National Congress,269065
PARAMESHWAR RAMAGALLA,Bharatiya Janata Party,187139
GANNARAPU SURENDER,Bahujan Samaj Party,9536
CHILUVERU PRATHAP,Independent,9178
THUPPARI NARASIMHA SWAMY,Pyramid Party of India,7350
CHINTHA SWAMY,Aam Aadmi Party,5569
JANNU MAHENDAR,Independent,3211
VENKANNA KANNAM,Marxist Communist Party of India (United),2258
VENKANNA NEERUDU,Bahujan Mukti Party,2098
KANAKAM RAMESH,Independent,2013
VENU ESAMPELLY,All India Forward Bloc,1541
None of the Above,None of the Above,14034
