Candidate,Party,Votes
RAGHAV LAKHANPAL,Bharatiya Janata Party,472999
IMRAN MASOOD,Indian National Congress,407909
JAGDISH SINGH RANA,Bahujan Samaj Party,235033
SHAZAN MASOOD URF SHADAN MASOOD,Samajwadi Party,52765
HANSRAJ SAINI,Independent,4068
SESHRAJ,Independent,4057
YOGESH KUMAR,Aam Aadmi Party,3065
CP VERMA,Independent,2114
SHIV KUMAR,Ambedkar Samaj Party,1888
RATAN SINGH,Bahujan Mukti Party,1366
RAGHUVEER SINGH BODH,Independent,1066
MOHD. FIROZ AFTAB,Independent,692
SHAHANAVAJ,Rashtriya Janmorcha,553
RAJENDER KUMAR,Adarsh Rashtriya Vikas Party,466
None of the Above,None of the Above,6267
