Candidate,Party,Votes
BHAGAT SINGH KOSHYARI,Bharatiya Janata Party,636769
K.C.SINGH BABA,Indian National Congress,352052
LAIK AHMED,Bahujan Samaj Party,59245
BALLI SINGH CHEEMA,Aam Aadmi Party,13472
AVTAR SINGH,Samajwadi Party,9825
D.S.RAWAL,Bharat Ki Lok Jimmedar Party,3392
BHUWAN CHANDRA JOSHI,Independent,3180
SHEESHPALARYA,Ambedkar National Congress,2706
SHAKIL AHMED,Independent,2529
BHAGWAN SWAROOP,Independent,1869
KAILASH CHANDRA,Independent,1635
KAILASH PANDEY,Communist Party of India (Marxist-Leninist) (Liberation),1530
RAM SINGH,Peace Party,1064
ASHARAM KASHYAP,Rashtriya mahan Gantantra Party,1037
KHASHTI SUYAL,Bhartiya Chaitanya Party,802
None of the Above,None of the Above,10328
