Candidate,Party,Votes
NIHALCHAND,Bharatiya Janata Party,658130
MASTER BHANWARLAL MEGHWAL,Indian National Congress,366389
SHIMLA DEVI NAYAK (ADVOCATE),National Unionist Zamindara Party,106585
DR. BALKRISHAN BAWARI,Aam Aadmi Party,40016
PALARAM,Communist Party of India (Marxist),14944
DULICHAND MEGHWAL,Independent,11981
BALRAJ BAWARI,Independent,8788
AMAR SINGH,Bahujan Mukti Party,6686
BALWANT SINGH HARIYALA,Bharatiya Sant Mat Party,5364
DR. PALUSKAR K. T.,Prabuddha Republican Party,5232
ADVOCATE KARTAR SINGH BAINS,All India Trinamool Congress,5025
TITAR SINGH,Independent,3924
OM PARKASH,Independent,3750
SUNIL BHADRAWAL,Lok Dal,3729
JASVINDER SINGH,Jai Maha Bharath Party,3395
KUMBHA RAM,Independent,3007
HETRAM,Rajasthan Vikas Party,2943
None of the Above,None of the Above,6918
