Candidate,Party,Votes
PRATIMA MONDAL,All India Trinamool Congress,494746
SUBHAS NASKAR,Revolutionary Socialist Party,386362
DR. TARUN MANDAL,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),117454
KRISHNAPADA MAJUMDER,Bharatiya Janata Party,113206
ARNAB ROY,Indian National Congress,38493
TARANGA MONDAL,All India United Democratic Front,13333
MANIKLAL SARDAR,Rashtriya Janadhikar Suraksha Party,5908
SUBHAS NASKAR,Independent,5161
ANANYA SARKAR,Bahujan Samaj Party,2909
DR. RABIN NASKAR,Bahujan Mukti Party,2657
None of the Above,None of the Above,5823
