Candidate,Party,Votes
BHANU PRATAP SINGH VERMA,Bharatiya Janata Party,548631
BRIJLAL KHABRI,Bahujan Samaj Party,261429
GHANSHAYAM ANURAGI,Samajwadi Party,180921
VIJAY CHAUDHARI,Indian National Congress,82903
RAMNARAYAN,Bahujan Mukti Party,4944
RAM SINGH,Communist Party of India (Marxist-Leninist) (Liberation),4761
MANOJ KUMAR,Bharatiya Republican Paksha,4561
DALCHANDRA ANURAGI,Aam Aadmi Party,3337
RAJKUMAR,Peace Party,2816
GANGASINGH,Al-Hind Party,2525
JAYRAM,Bhartiya Shakti Chetna Party,2047
None of the Above,None of the Above,10291
