Candidate,Party,Votes
RAVNEET SINGH BITTU,Indian National Congress,300459
HARVINDER SINGH PHOOLKA,Aam Aadmi Party,280750
MANPREET SINGH AYALI,Shiromani Akali Dal,256590
SIMARJEET SINGH BAINS,Independent,210917
NAVJOT SINGH MANDAIR,Bahujan Samaj Party,8317
RAJIV KUMAR KALRA,Independent,4653
GURDEEP SINGH KAHLON,Independent,4509
SUKHWINDER SINGH SEKHON,Communist Party of India (Marxist),4167
SIMERJIT SINGH,Independent,3980
JASWINDER SINGH BAINS,Independent,3238
NAVPREET SINGH BEDI,Independent,3144
AKSHAYBAR NATH MISHRA,Janata Dal (United),2925
MOHD. NASEEM ANSARI,New All India Congress Party,1984
TARSEM SINGH BANGA,Independent,1934
JAI PARKASH JAIN,Independent,1519
KISHAN KUMAR SHARMA,Jammu & Kashmir National Panthers Party,1483
BITTU,Republican Party of India (A),1286
HARI RAM SAHNI,All India Forward Bloc,1168
MOHAMMAD MAKSOOD ANSARI,Bahujan Mukti Party,1111
RAJ KUMAR ATWAL,Independent,1089
DARSHAN SINGH,Shivsena,1028
KULWINDER PAL SINGH,Independent,986
None of the Above,None of the Above,3220
