Candidate,Party,Votes
VANAROJA R,All India Anna Dravida Munnetra Kazhagam,500751
ANNADURAI C N,Dravida Munnetra Kazhagam,332145
EDIROLI MANIAN G,Pattali Makkal Katchi,157954
SUBRAMANIYAN A,Indian National Congress,17854
MURUGESAN K,Independent,10708
ARUMUGAM C,Samajwadi Party,6278
KOTHANDAPANI B,Independent,4688
BASKARAN M R,Bahujan Samaj Party,4328
SENTHIL S,Independent,3867
RAMESH P,Independent,2445
RAVINDRAN T,Tamil Nadu Makkal Congress,1999
LOGANATHAN P,Independent,1729
ANNADURAI B,Independent,1693
ANBALAGAN D,Independent,1686
MANIKKAVEL M R,Janata Dal (Secular),1555
KAMARAJ M,Independent,1369
MURUGAN P,Independent,991
ARUMUGAM R,Independent,973
VAITHIYANATHAN S,Independent,931
ARULJOTHI A,Independent,904
ANNADURAI A,Independent,865
ARUNACHALAM P,Independent,736
VELMURUGAN A,Independent,724
PRABAKARAN L,Independent,679
None of the Above,None of the Above,9595
