Candidate,Party,Votes
KALIKESH NARAYAN SINGH DEO,Biju Janata Dal,453519
SANGEETA KUMARI SINGH DEO,Bharatiya Janata Party,349220
SARAT PATTNAYAK,Indian National Congress,277616
SARASWATI NANDA,Aam Aadmi Party,24515
ACHUTANANDA NAG,Ambedkarite Party of India,14626
RANA NAG,Bahujan Samaj Party,11513
NABA KRUSHNA DANTA,Independent,9915
SHANKAR KUMAR PATRA,Aama Odisha Party,8438
None of the Above,None of the Above,21043
