Candidate,Party,Votes
CHOUDHURY MOHAN JATUA,All India Trinamool Congress,627761
RINKU NASKAR,Communist Party of India (Marxist),489325
TAPAN NASKAR,Bharatiya Janata Party,65965
SHRI MANORANJAN HALDER,Indian National Congress,47277
PURNA CHANDRA NAIYA,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),10191
MANTU RAM HALDER,Welfare Party Of India,4674
SOUMEN SARADAR,Bahujan Samaj Party,4364
RABINDRANATH MISTRI,Party for Democratic Socialism,3212
ABANINDRA NATH BAIDYA,Independent,2088
NANDADULAL MANDAL,Rashtriya Janasachetan Party (R.J.P.),1357
None of the Above,None of the Above,9317
