Candidate,Party,Votes
MEENAKASHI LEKHI,Bharatiya Janata Party,453350
ASHISH KHETAN,Aam Aadmi Party,290642
AJAY MAKAN,Indian National Congress,182893
RAVI KUMAR GUPTA,Independent,20028
SOLOMON GEORGE,Bahujan Samaj Party,6088
RUBINA KHAN,Independent,1260
BISWAJIT RANJIT CHATTERJEE,All India Trinamool Congress,909
ANJUMAN AGNIHOTRI,Independent,887
GHANSHYAM DASS,Independent,862
NARENDRA SINGH RAWAT,Independent,687
DAL CHAND,Independent,662
SWADESH OHRI,Atulya Bharat Party,582
RATHEESH,Independent,532
SUNITA CHAUDHARY,Jammu & Kashmir National Panthers Party,528
K P SANKARAN MENON,Independent,499
NIKHIL SABLANIA,Independent,444
HARKRISHAN DAS NIJHAWAN,Independent,429
SUJEET JHA,Bhartiya Janta Dal (Integrated),388
LAKSHMI NARAYAN,Bharatiya Bahujan Party,366
DHEERAJ PURI,Shivsena,347
VISHAL KHOSLA,Independent,298
DEVI SINGH,Rashtriya Jankranti Party,217
PADMAJA KANDUKURI,Independent,213
MEENA SINGLA,Poorvanchal Rashtriya Congress,205
LUKMAN KHAN,Independent,203
NAVEEN CHANDRA,Naya Daur Party,199
VED PRAKASH,Independent,186
PRADEEP VARMA,Bharat Vishal Party,161
RAMANUJ PATEL,Samyak Parivartan Party,158
None of the Above,None of the Above,5589
