Candidate,Party,Votes
C. R. PATIL,Bharatiya Janata Party,820831
MAKSUD MIRZA,Indian National Congress,262715
MEHUL PATEL,Aam Aadmi Party,14299
CHAUHAN KESAVBHAI MALABHAI (MASTER),Bahujan Samaj Party,11240
LATABEN ASHOKKUMAR DWIVEDI,Independent,7560
SAIYED MEHMUD AHMED,Independent,6069
ROHIT GANDHI,Independent,4267
ASLAM MISTRY,Bharatiya Bahujan Congress,3853
HASAN SHAIKH,Independent,3510
RAVSHAHEB BHIMRAV PATIL (BANDHU),Independent,2888
VIMAL PATEL (ENDHAL),Independent,2739
PERCY MUNSHI,Independent,2235
WARDE RAJUBHAI BHIMRAO,Bahujan Mukti Party,2156
RAMJAN MANSURI(JOURNALIST),Independent,1787
PATEL BHUPENDRAKUMAR DHIRUBHAI,Janata Dal (United),1264
SONAL KELLOGG,Voters Party,1089
KESHAVJI L. SARADVA,Independent,1059
ARUN S. PATHAK(JOURNALIST),Independent,1030
PYARELAL BHARTI,Hindusthan Nirman Dal,834
None of the Above,None of the Above,9322
