Candidate,Party,Votes
RAMESH BAIS,Bharatiya Janata Party,654922
SATYA NARAYAN SHARMA (SATTU BHAIYA),Indian National Congress,483276
SANDEEP TIWARI,Aam Aadmi Party,15139
GURUJI VIRENDRA KUMAR DAHARIYA,Bahujan Samaj Party,13147
OM PRAKASH DANDE,Independent,12699
SHAMEEM KHAN,Independent,6750
ABDUL SAFIQ KHAN,Independent,6250
AJAY VERMA,Chhattisgarh Swabhiman Manch,4963
KAMALUDDIN,Independent,4316
UMESH KUMAR VERMA,Independent,3527
RIJHENDRA DAHARIYA,Independent,3398
SHANKAR LAL VARANDANI,Independent,2726
ANIL KUMAR UMRE,Ambedkarite Party of India,2700
RAMGOPAL VERMA,All India Trinamool Congress,2619
KRANTI CHANDRAKAR,Independent,2521
NAARAD PRASAD NISHAD,Independent,2215
LALIT KUMAR PATEL,Independent,2184
SATANAMI SANTOSH DAHARIYA,Independent,1657
RAMKRISHNA VERMA,Independent,1596
MAHESH HARPAL,Shakti Sena (Bharat Desh),1562
KRISHNANANDAN SINGH,Independent,1527
NAVEEN GUPTA,Samajwadi Party,1507
MEERA SHARMA,Independent,1405
BISAHAT KURRE,Communist Party of India (Marxist-Leninist) (Liberation),1365
NARESH TANDI,Independent,1329
MADAN LAL SAHU,Communist Party of India (Marxist-Leninist) Red Star,1143
YASMIN BEG,Independent,1086
OMPRAKASH MESHRAM,Republican Paksha (Khoripa),1026
TARZAN JANGDE,Independent,962
IMRRAN PASHA,Aazadi Ka Antim Aandolan Dal,937
MOINUDIN TANVAR(MONU),Independent,922
BASMATI KSHATRIYA,Independent,817
TEEKAM KUMAR TONDARE,Independent,741
PRAVIN JAIN,Independent,729
SAIYYAD JAVED ALI,Independent,724
HORILAL YADAV,Independent,662
None of the Above,None of the Above,5796
