Candidate,Party,Votes
JANARDAN MISHRA,Bharatiya Janata Party,383320
SUNDERLAL TIWARI,Indian National Congress,214594
DEORAJ SINGH PATEL,Bahujan Samaj Party,175567
ABDUL WAFATI ANSARI URF YUVRAJ TAILORS,Samata Party,7527
PURNANAND TIWARI,Aam Aadmi Party,5835
VISHWA NATH DWIVEDI,Independent,5057
PRAMOD TIWARI,Bhartiya Shakti Chetna Party,4794
BRAMHADATTA MISHRA URF CHHOTE,Independent,4718
PRABHUNATH PRASAD SAKET,Independent,4389
JANARDAN MISHRA,Independent,3608
GIRISH KUMAR GAUTAM,Independent,3260
R.D. VISHWAKARMA,Apna Dal,3164
RAMKISHAN NIRAT (SAKET),Republican Party of India (A),2055
MANGLESHWAR BHAIYA,Naya Daur Party,1456
None of the Above,None of the Above,10658
