Candidate,Party,Votes
AJAY TAMTA,Bharatiya Janata Party,348186
PRADEEP TAMTA,Indian National Congress,252496
BAHADUR RAM DHAUNI,Bahujan Samaj Party,14150
SAJJAN LAL TAMTA,Independent,8387
HARISH CHANDRA ARYA,Aam Aadmi Party,7916
BANSI RAM,Independent,3857
VIJAY KUMAR,Communist Party of India (Marxist-Leninist) (Liberation),2392
AMAR PRAKASH,UTTARAKHAND PARIVARTAN PARTY,2045
BHAGAWATI PRASAD TRIKOTI,Samajwadi Party,1851
None of the Above,None of the Above,15245
