Candidate,Party,Votes
V.SATHYABAMA,All India Anna Dravida Munnetra Kazhagam,442778
N.DINESHKUMAR,Desiya Murpokku Dravida Kazhagam,263463
M.SENTHILNATHAN,Dravida Munnetra Kazhagam,205411
E.V.K.S. ELANGOVAN,Indian National Congress,47554
K.SUBBARAYAN,Communist Party of India,33331
R.R.MURUGAN,Independent,6422
N.GURUSAMY,Bahujan Samaj Party,4665
P.SELVABOOBATHI,Independent,4264
M.PALANISAMY,Independent,4074
R.CHAKRAVARTHI RAJA GOPALA KRISHNAN,Aam Aadmi Party,3087
R.GOPALSAMY,Lok Satta Party,2167
R.MURUGESAN,Makkal Manadu Katchi,2010
M.RAJENDRAN,Independent,1991
K.SENTHILKUMAR,Independent,1926
S.K.DINESHKUMAR,Independent,1820
R.SATHYABHAMA,Independent,1193
A.PONNUSAMY,Independent,1193
PASTOR A.JAMES,Independent,1153
T.S.SENTHILKUMAR,Independent,1151
R.SATHYABAMA,Independent,1097
A.MOGHEETH KHAN,Independent,1038
N.SIVAKUMAR,Ulzaipali Makkal Katchy,949
P.BALASUBRAMANIYAN,Independent,916
J.LAXMI,Communist Party of India (Marxist-Leninist) Red Star,908
R.NANDHAKUMAR,Independent,900
A.K.SHEIKDAVOOD,Independent,788
None of the Above,None of the Above,13941
