Candidate,Party,Votes
RAJVEER SINGH (RAJU BHAIYA),Bharatiya Janata Party,474978
KU. DEVENDRA SINGH YADAV,Samajwadi Party,273977
NOOR MOHAMMAD KHAN,Bahujan Samaj Party,137127
TH. JOGINDRA SINGH BHADORIYA,Mahan Dal,12445
RAKESH GANDHI,Independent,7123
RAJVEER SINGH,Independent,5848
HANS RAJ SINGH,Aam Aadmi Party,2186
THAKUR HEMENDRA VEER SINGH,Sarva Samaj Kalyan Party,2034
VINAY,Bhartiya Shakti Chetna Party,2008
DANVEER,Independent,1333
RAJENDRA,Braj Vikas Party,1021
None of the Above,None of the Above,6201
