Candidate,Party,Votes
BHARATHI MOHAN R.K,All India Anna Dravida Munnetra Kazhagam,513729
HYDER ALI.S,Manithaneya Makkal Katchi,236679
AGORAM. K,Pattali Makkal Katchi,144085
MANI SHANKAR AIYAR,Indian National Congress,58465
PANDIYAN .R,Independent,11613
FATHIMA ALIAS BHARATHI. R,Independent,7582
RAGURAMAN. A,Independent,7214
REVATHI.A,Independent,6286
THIRUNAVUKKARASU. R,Independent,4714
GUNASEKARAN.N,Independent,4149
RASAVELU.K,Bahujan Samaj Party,3654
IRULAPPAN.V,Samajwadi Party,2643
TIMOTHY.T,Independent,2327
SHAMSUDEEN. M,Independent,2303
ARUMUGAM. C,Independent,2028
MUNUSAMY.V,Independent,1994
NAGARAJAN. M,Independent,1066
JARINA BEGAM. N,Independent,1056
JEYAPRAKASH. B,Independent,770
None of the Above,None of the Above,13181
