Candidate,Party,Votes
TASLEEM UDDIN,Rashtriya Janata Dal,407978
PRADEEP KUMAR SINGH,Bharatiya Janata Party,261474
VIJAY KUMAR MANDAL,Janata Dal (United),221769
ABDUL RAHMAN,Bahujan Samaj Party,17724
PANKAJ KISHOR MANDAL,Independent,10704
SAR WAT JAHRE ANSARI,Samajwadi Janata Party (Rashtriya),6376
CHANDRA BHUSHAN,Aam Aadmi Party,5685
ALAMDAR HUSSAIN,Independent,5645
SANJAY KUMAR RISHIDEV,Communist Party of India (Marxist-Leninist) (Liberation),5292
MD. ASLAM BEG,Janta Dal Rashtravadi,5149
RAJESH KUMAR,Bharat Vikas Morcha,4646
RAMANAND RISHIDEO,Lok Dal,3411
BIDAYANAND PASWAN,Bahujan Mukti Party,3350
None of the Above,None of the Above,16608
