Candidate,Party,Votes
SHARAD TRIPATHI,Bharatiya Janata Party,348892
BHISM SHANKAR ALIAS KUSHAL TIWARI,Bahujan Samaj Party,250914
BHAL CHANDRA YADAV,Samajwadi Party,240169
RAJARAM,Peace Party,69193
ROHIT KUMAR PANDEY,Indian National Congress,22029
APARNA,Independent,11046
SHABBEER HUSEN,Jai Hind Samaj Party,8993
AFTAB ALAM KHAN,Aam Aadmi Party,7458
SURENDRA KUMAR CHAUDHARY,Independent,5866
RAJMANI,Bahujan Mukti Party,5036
MOHAMMAD ALI,Parcham Party of India,4082
SANT SIROMANI BABOOLAL YADAV MAHARAJ JI,Suheldev Bhartiya Samaj Party,3900
LOTAN URF LAUTAN PRASAD,Shoshit Samaj Dal,3618
KAILASH NATH BELDAR,Independent,3181
SUBODH CHANDRA,Independent,3061
AMIT,Independent,2796
JANTRI LAL CHAUHAN,Janvadi Party(Socialist),2439
RAJENDRA KUMAR,Rashtriya Janwadi Party (Krantikari),2278
MOHAMMAD IRFAN,Independent,2164
PREM PRAKASH,Indian Peace Party,2155
JYOTI SINGH,Bahujan Sangharsh Party (Kanshiram),1884
RAVIKANT,Most Backward Classes Of India,1721
SHAYAM LAL,Independent,1477
JAIYANTRI PRASAD,Independent,1335
KRIPANARAYAN RAI,Independent,1215
None of the Above,None of the Above,4747
