Candidate,Party,Votes
RAMSINH RATHWA,Bharatiya Janata Party,607916
NARANBHAI JEMALABHAI RATHVA,Indian National Congress,428187
PROF. ARJUNBHAI VERSINGBHAI RATHVA,Aam Aadmi Party,23116
VASAVA PRAFULBHAI DEVJIBHAI,Janata Dal (United),12508
None of the Above,None of the Above,28815
