Candidate,Party,Votes
KAMAL NATH,Indian National Congress,559755
CHOUDHARY CHANDRABHAN KUBER SINGH,Bharatiya Janata Party,443218
PARDESHI HARTAPSHAH TIRGAM,Gondvana Gantantra Party,25628
SITARAM SAREYAM,Independent,12762
NITINKUMAR SAHU,Bahujan Samaj Party,12241
DHANIRAM YADUVANSHI,Independent,6601
MAHESH MADHAVLAL DUBEY,Aam Aadmi Party,5696
DWARKA PRASAD PAHADE,Independent,3450
JALASRAM NAGWANSHI,Independent,3117
RAMESH PATIL,Ambedkarite Party of India,2872
ARVIND DONGRE,Bahujan Mukti Party,2484
ER. KRIPA SHANKAR YADAV,Independent,2140
SUBHASH SHUKLA,Samajwadi Party,2035
None of the Above,None of the Above,25499
