Candidate,Party,Votes
DR. DHARAM VIRA GANDHI,Aam Aadmi Party,365671
PRENEET KAUR,Indian National Congress,344729
DEEPINDER SINGH DHILLON,Shiromani Akali Dal,340109
BIBI KAMALDEEP KAUR RAJOANA,Independent,15313
RAM SINGH DHIMAN,Bahujan Samaj Party,13014
NIRMAL SINGH DHALIWAL,Communist Party of India,8537
PARVESH BHATEJA,Independent,4915
PARVEEN KUMAR,Independent,4089
MOHINDER PAL SINGH,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),2773
RAMISHER SINGH BILLA,Independent,2625
GURPREET SINGH,Bahujan Samaj Party (Ambedkar),2378
HARISH KUMAR,Shivsena,2325
GURBHEJ SINGH,Independent,2217
RANJIT KAUR,Bharatiya Gaon Taj Dal,2178
RAJINDER SINGH PAWAR,Independent,1625
DHARAM PAL,Independent,1271
RANDHIR SINGH,Bahujan Mukti Party,1234
RAVINDER SINGH,Bharatiya Sant Mat Party,1177
AMRIK SINGH,New All India Congress Party,936
LAKHWINDER SINGH MALHI,Independent,809
None of the Above,None of the Above,3008
