Candidate,Party,Votes
RAM KRIPAL YADAV,Bharatiya Janata Party,383262
MISHA BHARTI,Rashtriya Janata Dal,342940
RANJAN PRASAD YADAV,Janata Dal (United),97228
RAMESHWAR PRASAD,Communist Party of India (Marxist-Leninist) (Liberation),51623
RAJ KUMAR RAM,Bahujan Samaj Party,17188
DURGESH NANDAN SINGH ALIAS DURGESH NANDAN,Independent,16645
SHATRUDHAN SAW,Bharatiya Ekta Dal,8184
NIRAJ KUMAR,Independent,8084
SUNIL KUMAR,Samajwadi Janata Party (Rashtriya),6269
ABINASH KUMAR,Bharatiya Jan Kranti Dal (Democratic),5854
KUNDAN PRASAD SINGH,Aam Aadmi Party,5637
KUMAR INDRA BHUSHAN,Independent,5412
JAI PRAKASH YADAV,Independent,4804
SUNIL KUMAR SINGH,Independent,4555
NAGENDRA KUMAR,Bharat Vikas Morcha,4302
MUKUL KUMAR SHARMA,Sankhyanupati Bhagidari Party,3015
PANCHAM LAL,Independent,2520
DEO KUMAR VERMA,Republican Party of India (A),2484
CHANDRA DEV PRASAD,Bahujan Mukti Party,2268
MINENDRA KUMAR SINGH,Independent,1697
None of the Above,None of the Above,4678
