Candidate,Party,Votes
V.ELUMALAI,All India Anna Dravida Munnetra Kazhagam,502721
R.SIVANANDAM,Dravida Munnetra Kazhagam,258877
A.K.MOORTHY,Pattali Makkal Katchi,253332
M.K.VISHNU PRASAD,Indian National Congress,27717
K.MOORTHY,Independent,10263
V.MOORTHY,Independent,8059
A.GANESAN,Bahujan Samaj Party,5573
P.LOGANATHAN,Independent,4331
M.MUNUSAMY,Independent,2598
V.ANNA VENKATESH,Anaithindia Dravidar Samudaya Munnetra Kazhagam,2372
S.MANIKANDAN,Independent,1952
S.RAMAMOORTHY,Independent,1760
S.SENTHILNATHAN,Independent,1746
A.MAHADEVAN,Independent,1309
K.ELUMALAI,Independent,1243
M.DURAIRAJ,Independent,910
H.SENTHILKUMAR,Independent,798
R.SARASWATHI,Independent,668
S.ELUMALAI,Independent,513
None of the Above,None of the Above,9304
