Candidate,Party,Votes
MALA RAJYA LAXMI SHAH,Bharatiya Janata Party,446733
SAKET BAHUGUNA,Indian National Congress,254230
ANOOP NAUTIYAL,Aam Aadmi Party,24043
SHISHPAL SINGH,Bahujan Samaj Party,11538
SOHAN PAL SINGH,Independent,6672
SHIV PRASAD DEOLI,Communist Party of India (Marxist),6577
GAURAV PUNDIR,Independent,2302
PREM SINGH YADAV,Independent,2007
JAPINDER SINGH,Rashtriya Lok Dal,1958
RAJU MAURYA,Independent,1935
NAVNEET SINGH GOSAIN,Rashtriya Uttarakhand Party,1629
JAI PRAKASH UPADHYAY,Independent,1619
BARHM DEV JHA,Independent,1554
HAJI MOHD. YOUSUF,Peace Party,900
SATENDRA SHARMA,Naya Daur Party,878
JAUHARI LAL SUMAN(MUNI),Bharatiya Mool Niwasi Samaj Party,877
None of the Above,None of the Above,10762
